a,b,c
1896,DNK,6
1896,FIN,0
1896,NOR,0
1896,NLD,0
1896,FRA,11
1896,ITA,0
1896,ESP,0
1896,AZE,0
1896,RUS,0
1896,BLR,0
1896,CMR,0
1896,USA,20
1896,HUN,6
1896,GRE,48
1896,AUS,3
1896,IRN,0
1896,CAN,0
1896,PAK,0
1896,RUS,0
1896,UZB,0
1896,TJK,0
1896,RUS,0
1896,JPN,0
1896,ETH,0
1896,CHE,3
1896,DEU,0
1896,SWE,0
1896,ZAF,0
1896,TUR,0
1896,BGR,0
1896,EGY,0
1896,GBR,9
1896,JOR,0
1896,ROU,0
1896,PRI,0
1896,MEX,0
1896,GHA,0
1896,MAR,0
1896,NZL,0
1896,DEU,32
1896,ARG,0
1896,CUB,0
1896,URY,0
1896,POL,0
1896,CZE,0
1896,NER,0
1896,BRA,0
1896,AUT,5
1896,LTU,0
1896,IDN,0
1896,CHL,0
1896,UKR,0
1896,UGA,0
1896,SYR,0
1896,QAT,0
1896,KUW,0
1896,SSD,0
1896,SAU,0
1896,ARE,0
1896,HRV,0
1896,DEU,0
1896,ARM,0
1896,SRB,0
1896,NIG,0
1896,IND,0
1896,BEL,0
1896,DZA,0
1896,JAM,0
1896,TTO,0
1896,COL,0
1896,LUX,0
1896,BWA,0
1896,TUN,0
1896,KOR,0
1896,PRK,0
1896,CHN,0
1896,BIH,0
1896,GUY,0
1896,ISR,0
1896,KAZ,0
1896,GEO,0
1896,KEN,0
1896,ISL,0
1896,HTI,0
1896,MYS,0
1896,IRQ,0
1896,CZE,0
1896,SVK,0
1896,BHS,0
1896,AUS,0
1896,PRY,0
1896,MNE,0
1896,IRL,0
1896,PRT,0
1896,GTM,0
1896,SRB,0
1896,TZA,0
1896,LBN,0
1896,KGZ,0
1896,LVA,0
1896,NLD,0
1896,VEN,0
1896,THA,0
1896,TGO,0
1896,PER,0
1896,EST,0
1896,SVN,0
1896,NPL,0
1896,CHN,0
1896,ZWE,0
1896,MNG,0
1896,MDA,0
1896,CIV,0
1896,FJI,0
1896,SEN,0
1896,DOM,0
1896,PHL,0
1896,EGY,0
1896,SGP,0
1896,NAM,0
1896,LIE,0
1896,WIF,0
1896,BOH,0
1896,BMU,0
1896,VNM,0
1896,VGB,0
1896,MKD,0
1896,SDN,0
1896,BHR,0
1896,GRD,0
1896,LKA,0
1896,MUS,0
1896,SRB,0
1896,HKG,0
1896,CYP,0
1896,PAN,0
1896,ZMB,0
1896,MCO,0
1896,MOZ,0
1896,SUR,0
1896,AFG,0
1896,BDI,0
1896,GAB,0
1896,ECU,0
1896,CRI,0
1896,DJI,0
1896,ERI,0
1896,BRB,0
1896,TON,0
1900,DNK,9
1900,FIN,0
1900,NOR,9
1900,NLD,27
1900,FRA,235
1900,ITA,5
1900,ESP,2
1900,AZE,0
1900,RUS,0
1900,BLR,0
1900,CMR,0
1900,USA,63
1900,HUN,5
1900,GRC,0
1900,AUS,6
1900,IRN,0
1900,CAN,2
1900,PAK,0
1900,RUS,0
1900,UZB,0
1900,TJK,0
1900,RUS,0
1900,JPN,0
1900,ETH,0
1900,CHE,21
1900,DEU,0
1900,SWE,4
1900,ZAF,0
1900,TUR,0
1900,BGR,0
1900,EGY,0
1900,GBR,108
1900,JOR,0
1900,ROU,0
1900,PRI,0
1900,MEX,3
1900,GHA,0
1900,MAR,0
1900,NZL,1
1900,DEU,45
1900,ARG,0
1900,CUB,2
1900,URY,0
1900,POL,0
1900,CZE,0
1900,NER,0
1900,BRA,0
1900,AUT,6
1900,LTU,0
1900,IDN,0
1900,CHL,0
1900,UKR,0
1900,UGA,0
1900,SYR,0
1900,QAT,0
1900,KUW,0
1900,SSD,0
1900,SAU,0
1900,ARE,0
1900,HRV,0
1900,DEU,0
1900,ARM,0
1900,SRB,0
1900,NGA,0
1900,IND,2
1900,BEL,43
1900,DZA,0
1900,JAM,0
1900,TTO,0
1900,COL,1
1900,LUX,1
1900,BWA,0
1900,TUN,0
1900,KOR,0
1900,PRK,0
1900,CHN,0
1900,BIH,0
1900,GUY,0
1900,ISR,0
1900,KAZ,0
1900,GEO,0
1900,KEN,0
1900,ISL,0
1900,HTI,1
1900,MYS,0
1900,IRQ,0
1900,CZE,0
1900,SVK,0
1900,BHS,0
1900,AUS,0
1900,PRY,0
1900,MNE,0
1900,IRL,0
1900,PRT,0
1900,GTM,0
1900,SRB,0
1900,TZA,0
1900,LBN,0
1900,KGZ,0
1900,LVA,0
1900,NLD,0
1900,VEN,0
1900,THA,0
1900,TGO,0
1900,PER,0
1900,EST,0
1900,SVN,0
1900,NPL,0
1900,CHN,0
1900,ZWE,0
1900,MNG,0
1900,MDA,0
1900,CIV,0
1900,FIJ,0
1900,SEN,0
1900,DOM,0
1900,PHL,0
1900,EGY,0
1900,SGP,0
1900,NAM,0
1900,LIE,0
1900,WIF,0
1900,AUT,3
1900,BMU,0
1900,VNM,0
1900,VGB,0
1900,MKD,0
1900,SDN,0
1900,BHR,0
1900,GRD,0
1900,LKA,0
1900,MUS,0
1900,SRB,0
1900,HKG,0
1900,CYP,0
1900,PAN,0
1900,ZMB,0
1900,MCO,0
1900,MOZ,0
1900,SUR,0
1900,AFG,0
1900,BDI,0
1900,GAB,0
1900,ECU,0
1900,CRI,0
1900,DJI,0
1900,ERI,0
1900,BRB,0
1900,TON,0
1904,DNK,0
1904,FIN,0
1904,NOR,2
1904,NLD,0
1904,FRA,2
1904,ITA,0
1904,ESP,0
1904,AZE,0
1904,RUS,0
1904,BLR,0
1904,CMR,0
1904,USA,394
1904,HUN,4
1904,GRC,2
1904,AUS,4
1904,IRN,0
1904,CAN,48
1904,PAK,0
1904,RUS,0
1904,UZB,0
1904,TJK,0
1904,RUS,0
1904,JPN,0
1904,ETH,0
1904,CHE,3
1904,DEU,0
1904,SWE,0
1904,ZAF,0
1904,TUR,0
1904,BGR,0
1904,EGY,0
1904,GBR,2
1904,JOR,0
1904,ROU,0
1904,PRI,0
1904,MEX,0
1904,GHA,0
1904,MAR,0
1904,NZL,0
1904,DEU,16
1904,ARG,0
1904,CUB,5
1904,URY,0
1904,POL,0
1904,CZE,0
1904,NER,0
1904,BRA,0
1904,AUT,4
1904,LTU,0
1904,IDN,0
1904,CHL,0
1904,UKR,0
1904,UGA,0
1904,SYR,0
1904,QAT,0
1904,KUW,0
1904,SSD,0
1904,SAU,0
1904,ARE,0
1904,HRV,0
1904,DEU,0
1904,ARM,0
1904,SRB,0
1904,NGA,0
1904,IND,0
1904,BEL,0
1904,DZA,0
1904,JAM,0
1904,TTO,0
1904,COL,0
1904,LUX,0
1904,BWA,0
1904,TUN,0
1904,KOR,0
1904,PRK,0
1904,CHN,0
1904,BIH,0
1904,GUY,0
1904,ISR,0
1904,KAZ,0
1904,GEO,0
1904,KEN,0
1904,ISL,0
1904,HTI,0
1904,MYS,0
1904,IRQ,0
1904,CZE,0
1904,SVK,0
1904,BHS,0
1904,AUS,0
1904,PRY,0
1904,MNE,0
1904,IRL,0
1904,PRT,0
1904,GTM,0
1904,SRB,0
1904,TZA,0
1904,LBN,0
1904,KGZ,0
1904,LVA,0
1904,NLD,0
1904,VEN,0
1904,THA,0
1904,TGO,0
1904,PER,0
1904,EST,0
1904,SVN,0
1904,NPL,0
1904,CHN,0
1904,ZWE,0
1904,MNG,0
1904,MDA,0
1904,CIV,0
1904,FJI,0
1904,SEN,0
1904,DOM,0
1904,PHL,0
1904,EGY,0
1904,SGP,0
1904,NAM,0
1904,LIE,0
1904,WIF,0
1904,AUT,0
1904,BMU,0
1904,VNM,0
1904,VGB,0
1904,MKD,0
1904,SDN,0
1904,BHR,0
1904,GRD,0
1904,LKA,0
1904,MUS,0
1904,SRB,0
1904,HKG,0
1904,CYP,0
1904,PAN,0
