,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
DEN,6,9,0,17,87,0,71,14,15,11,6,0,0,51,9,6,23,12,17,1,8,8,13,7,14,23,25,29,19,16,41
FIN,0,0,0,30,71,0,52,67,29,32,36,0,0,42,52,38,19,20,12,20,22,21,31,38,20,4,5,2,5,5,1
NOR,0,9,2,42,80,0,137,39,24,10,46,0,0,31,32,7,11,15,28,25,16,15,19,33,47,23,43,7,22,17,19
NED,0,27,0,16,26,0,50,27,57,13,37,0,0,42,21,0,5,33,23,15,20,10,41,52,37,73,79,77,61,69,47
FRA,11,235,2,40,26,0,141,120,52,42,45,0,0,77,41,33,15,38,36,25,21,30,70,31,69,51,66,53,77,82,96
ITA ,0,5,0,8,25,0,84,51,72,77,76,0,0,68,56,55,89,61,41,34,35,40,65,37,66,71,65,104,42,68,72
ESP,0,2,0,0,0,0,23,0,3,1,0,0,0,3,1,0,14,0,0,2,6,24,19,5,70,66,42,30,70,63,45
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,10,18
RUS,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,187,189,142,140,115
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,15,29,23,12
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18,1,1,0,0
USA,20,63,394,65,107,0,194,194,102,223,112,0,0,168,164,149,152,177,173,195,175,30,361,214,238,259,242,263,317,248,264
HUN,6,5,4,20,30,0,0,22,21,35,43,0,0,64,104,66,66,56,81,81,55,63,0,44,45,43,53,40,27,26,22
GRE,48,0,2,4,2,0,5,1,0,0,0,0,0,0,0,1,3,0,1,2,0,5,2,1,2,8,18,31,7,3,7
AUS,3,6,4,0,0,0,7,11,4,5,1,0,0,16,20,67,46,44,51,20,23,13,52,35,57,132,183,157,149,114,82
IRI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,4,2,5,3,2,0,0,1,3,3,4,6,2,12,8
CAN,0,2,48,52,8,0,16,29,45,59,35,0,0,22,21,39,30,12,30,12,26,2,91,29,80,50,31,17,35,55,69
PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,16,13,15,16,0,16,1,16,0,0,0,0,0,0
URS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,206,211,221,229,259,342,496,56,366,0,0,0,0,0,0,0
UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,3,13
TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
EUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0
JPN,0,0,0,0,0,0,3,1,9,31,23,0,0,0,12,25,31,62,63,59,41,1,50,21,59,42,44,93,51,84,64
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,4,0,0,3,3,8,7,7,7,8
SUI,3,21,3,0,2,0,29,69,42,3,62,0,0,64,39,13,14,6,22,25,19,11,21,28,8,11,14,7,11,4,11
GDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,171,227,303,33,213,0,0,0,0,0,0,0
